LayerID,IRIs,Space,Topic,Style,Discard,State
236,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:53:01
238,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:53:32
240,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:54:10
242,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:54:28
244,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:54:39
246,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:55:17
248,"http://sweetontology.net/matrElement/Molybdenum,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:55:32
251,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Point Symbol Method,0,2022.06.28 17:55:53
253,"http://sweetontology.net/matrElement/Cadmium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:56:52
255,"http://sweetontology.net/matrElement/Cadmium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:57:03
257,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:57:37
259,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:57:56
261,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:01:26
263,"http://sweetontology.net/matrElement/Antimony,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:01:40
271,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:01:54
273,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:02:02
275,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:02:39
277,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:02:53
279,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:03:07
281,"http://sweetontology.net/matrElement/Mercury,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:03:18
283,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:03:36
285,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:03:46
287,"http://sweetontology.net/matrElement/Lead,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:04:02
289,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:04:10
291,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:04:21
296,"http://sweetontology.net/matrElement/Thorium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:04:45
298,"http://sweetontology.net/matrElement/Uranium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:04:55
300,"http://sweetontology.net/matrElement/Uranium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:05:06
302,"http://sweetontology.net/matr/InorganicSubstance,http://sweetontology.net/matrElement/Carbon,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:05:26
304,"http://sweetontology.net/matrElement/Carbon,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:05:42
306,"http://sweetontology.net/matrElement/Carbon,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:05:53
308,"http://sweetontology.net/matrMineral/Quartz,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:06:09
310,"http://sweetontology.net/matrMineral/Feldspar,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:06:21
312,"http://sweetontology.net/matrMineral/Feldspar,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:06:38
314,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:08:35
316,"http://sweetontology.net/matrSediment/Clay,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 18:08:49
318,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Clay,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:54:59
320,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Clay,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:54:50
322,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:54:44
324,"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:54:36
326,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrIon/CO3minusminus,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matrCompound/Carbonate",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:54:28
328,"http://sweetontology.net/matrMineral/Calcite,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:54:20
330,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:54:07
332,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:54:01
334,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:55
336,"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:45
338,"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:40
340,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:33
342,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:27
344,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:53:21
346,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:15
348,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrMineral/Hematite,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:52:53
350,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:52:36
352,"http://sweetontology.net/matrMineral/Pyroxene,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:52:43
354,"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.29 14:53:07
356,"http://sweetontology.net/stateSolid/Amorphous,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.29 14:51:42
361,"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States,Geology,Others,0,2022.06.29 11:10:52
370,"http://sweetontology.net/matrRock/Rock,http://sweetontology.net/humanKnowledgeDomain/Geochemistry",Global/North America/United States,Geology,Others,0,2022.06.29 11:17:10
386,"http://sweetontology.net/matrElement/Chromium,http://sweetontology.net/humanCommerce/Mining,http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral",Global,Geology,Point Symbol Method,0,2022.06.29 11:21:15
409,"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine",Global/North America/United States/Alabama,Geology,Line Symbol Method,0,2022.06.29 11:31:14
425,"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/propMass/Structure,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States/Arkansas,Geology,Line Symbol Method,0,2022.06.29 11:31:07
441,"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine",Global/North America/United States/Arizona,Geology,Line Symbol Method,0,2022.06.29 11:30:58
454,"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine",Global/North America/United States/California,Geology,Line Symbol Method,0,2022.06.29 11:32:28
467,"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/phenSolid/FaultLine",Global/North America/United States/Colorado,Geology,Line Symbol Method,0,2022.06.29 11:33:30
470,"http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States/Colorado,Geology,Line Symbol Method,0,2022.06.29 11:42:43
516,"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States/Georgia,Geology,Line Symbol Method,0,2022.06.29 11:44:12
519,"http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States/Georgia,Geology,Line Symbol Method,0,2022.06.29 11:45:41
547,"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Global/North America/United States/Idaho,Geology,Line Symbol Method,0,2022.06.29 11:46:46
560,"http://sweetontology.net/propMass/Structure,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States/Illinois,Geology,Line Symbol Method,0,2022.06.29 11:49:08
573,"http://sweetontology.net/propMass/Structure,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Global/North America/United States/Indiana,Geology,Line Symbol Method,0,2022.06.29 11:49:29
596,"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/phenSolid/FaultLine",Global/North America/United States/Kentucky,Geology,Line Symbol Method,0,2022.06.29 11:49:44
